vocab,vocab_freq,weights
import,21896,-0.20005278882233696
pandas,31322,-0.0503518699418551
as,5237,0.06458277560486468
pd,31762,-0.05743634801720211
matplotlib,26410,0.0
pyplot,34394,0.12868199384296305
plt,32674,-0.03342912350678778
seaborn,37587,-0.16446045693628764
sns,39001,0.0
numpy,30188,0.1555698997735418
np,29766,0.03044049024871806
from,18401,0.030801831504515723
scipy,37448,0.025427865273258132
stats,39765,0.028564806428206902
norm,29623,0.0312189693710208
sklearn,38817,0.0312189693710208
preprocessing,33641,0.4764110986450639
standardscaler,39589,0.0
warnings,46183,0.2122152656834797
filterwarnings,17613,0.0
ignore,21521,-0.008773855484474078
inline,22408,0.012081685947002485
df_train,14043,0.37736014280380614
read_csv,35183,0.012591426018481388
input,22427,0.0
train,43231,0.011910005270284423
csv,11204,0.00611438708787722
columns,9551,0.0
saleprice,36993,0.0
describe,13167,0.0
distplot,14672,0.0
print,33781,-0.06984031418331775
skewness,38779,0.0
skew,38770,-0.034150706956914155
kurtosis,23868,0.0
kurt,23867,0.0
var,45588,0.8111489059799111
grlivarea,20103,-0.031255847255500284
data,11900,-0.006132699199131133
concat,9848,-0.06405511238932705
axis,5777,0.23965332367886097
plot,32359,0.0
scatter,37364,0.0
ylim,48484,0.0
800000,2926,0.06852452882956916
totalbsmtsf,43016,-0.0062533800062312475
overallqual,31076,0.06982747376384874
ax,5744,-0.02331973308262441
subplots,40300,0.0
figsize,17465,0.0
fig,17432,0.07456188868953169
boxplot,7119,0.20589572963291555
ymin,48497,0.0
ymax,48496,0.2214007487195048
yearbuilt,48408,0.005829007634015687
16,772,-0.04894804784482171
xticks,47720,0.0
rotation,36671,-0.015248243643233371
90,3080,-0.0033901923683729734
corrmat,10532,-0.2008160468277313
corr,10482,0.0
12,414,-0.001962076835966352
heatmap,20616,0.0
vmax,45975,-0.02047906434054569
square,39450,0.0
true,44215,-0.003837513150105401
10,189,0.0
cols,9489,0.0
nlargest,29435,0.0
index,22107,0.0
cm,9183,0.0
corrcoef,10500,0.0645976509113107
values,45577,0.0596756404643983
set,38061,-0.0034304353591321363
font_scale,18081,-0.05515063135300909
25,1518,0.0
hm,20870,0.0
cbar,8163,-0.0019187565750527005
annot,4821,0.0
fmt,18011,0.0
2f,1784,0.01297648673989174
annot_kws,4822,0.0
size,38731,0.0
yticklabels,48574,0.0
xticklabels,47719,0.0
show,38411,-0.22410219668439124
garagecars,18866,0.0
fullbath,18540,0.0
pairplot,31281,0.0
total,42876,0.2815114498652505
isnull,22961,0.0
sum,40396,0.0
sort_values,39141,-0.014788711656881504
ascending,5260,0.5379769515350714
false,16882,0.0
percent,31871,-0.057099452882196804
count,10596,0.0
missing_data,27363,0.0
keys,23623,0.0
head,20548,0.0
20,1151,0.0
drop,15040,0.0
loc,25269,0.023261261145251212
electrical,15599,-0.000978643352938555
max,26437,-0.022473550155788048
fit_transform,17840,0.0
newaxis,29280,0.04631350461415491
low_range,25608,0.0
argsort,5100,0.0
high_range,20742,0.0
outer,30947,0.0
range,34997,-0.02304376840897114
low,25600,0.0
of,30370,-0.18000034206905316
the,42030,0.0
distribution,14686,0.0
high,20733,0.0
by,7453,0.0
id,21340,-0.0010671925715234876
1299,514,0.0
524,2443,0.06813174316746703
fit,17805,0.0
figure,17467,0.0
res,35839,0.0
probplot,33879,0.0
log,25319,0.0
hasbsmt,20473,0.0
series,38024,0.0
len,24608,-0.0019187565750527005
get_dummies,19313,0.0
re,35169,-0.025361785416496814
xgboost,47616,0.0
xgb,47573,0.0
plotly,32634,0.0
offline,30404,-0.13931152985635203
py,34341,0.0
init_notebook_mode,22339,0.0
connected,10074,0.0
graph_objs,19972,0.0
go,19811,0.0
tools,42700,-0.0019187565750527005
tls,42477,0.0
ensemble,16015,0.0
randomforestclassifier,34973,0.0
adaboostclassifier,3869,0.0
gradientboostingclassifier,19939,0.17694723593149297
extratreesclassifier,16708,0.0
svm,40599,0.0
svc,40570,0.0
cross_validation,11145,0.0
kfold,23634,0.16869087045276118
test,41352,0.0
passengerid,31533,0.0
full_data,18504,0.0
name_length,28691,0.0
name,28668,0.07773921768219762
apply,4996,0.0
has_cabin,20460,0.0
cabin,7560,0.0
lambda,24129,-0.22478164644515142
if,21504,-0.0019005950828553941
type,44508,-0.19237451801404473
float,17960,-0.06932438584833331
else,15644,-0.09430957022493391
for,18115,0.0
dataset,12243,-0.0019187565750527005
in,21967,-0.0019005950828553941
familysize,16920,0.0
sibsp,38539,0.0
parch,31444,0.0
isalone,22911,0.0
embarked,15676,0.0
fillna,17553,0.0
fare,16935,0.0
median,26827,0.0
categoricalfare,8073,0.0
qcut,34565,0.0
age_avg,4184,0.0
age,4156,-0.07509532548057146
mean,26717,0.0
age_std,4240,0.0
std,39792,0.0
age_null_count,4220,0.037914094499622915
age_null_random_list,4221,-0.22374491339667374
random,34921,0.0
randint,34918,0.0
isnan,22960,0.0
astype,5359,0.0
int,22570,-0.058529725135151436
categoricalage,8067,0.18880218784856764
cut,11414,0.08995169700144846
def,12897,0.4279913210571886
get_title,19512,-0.016377999990392855
title_search,42450,0.5303272606467154
search,37594,0.18488801064143875
za,48625,0.0
return,36135,-0.052627356523704455
group,20126,-0.07556058020009049
title,42412,0.0
replace,35772,0.0
lady,24083,-0.04713341577715578
countess,10649,0.0
capt,7800,-0.009244271204348682
col,9338,0.17988168723265874
don,14885,0.0
dr,14963,0.0
major,25972,0.0
rev,36184,0.0
sir,38690,0.0
jonkheer,23319,0.0
dona,14887,0.0
rare,35046,0.0
mlle,27448,0.0
miss,27348,0.04967053727975247
ms,28155,0.16989358377497085
mme,27466,0.0
mrs,28153,-0.13212605051003956
sex,38208,-0.422702359463857
map,26132,0.0
female,17328,0.0
male,26057,0.0
title_mapping,42438,0.0
mr,28143,0.0
master,26334,0.0
91,3101,0.0
tttttt,44364,0.0
14,608,0.0
454,2294,-0.12022317125335391
31,1873,0.0
ttttttt,44365,0.0
ttttt,44362,0.0
32,1915,-0.0009643175262820246
48,2333,0.2414537705666498
64,2640,0.043515304796590035
drop_elements,15054,-0.0018307031375549149
ticket,42196,0.0
colormap,9473,0.2411340895077398
rdbu,35154,0.0
pearson,31805,0.0
correlation,10523,-0.017739063402185944
features,17248,0.0
05,120,0.0
15,694,0.04852830334297518
linewidths,24990,0.0
cmap,9203,0.0
linecolor,24976,0.0
white,46427,0.0
survived,40536,0.0
pclass,31726,0.0
hue,21183,0.0
palette,31308,-0.011232048358719002
seismic,37757,0.0
diag_kind,14277,0.0
kde,23503,0.0
diag_kws,14278,0.005762773992256831
dict,14329,0.0
shade,38259,0.0
plot_kws,32482,0.0
ntrain,29832,0.0
shape,38281,0.0
ntest,29825,0.0
seed,37693,-0.0017811140131897066
nfolds,29368,0.0
kf,23632,0.056794845144314224
n_folds,28519,0.3382660003923883
random_state,34958,0.19060345722243935
class,8786,0.1891965094491601
sklearnhelper,38821,0.19060345722243935
object,30278,0.0
__init__,3282,0.0
self,37808,0.0
clf,8993,0.0
params,31429,0.0
none,29599,0.0
x_train,47289,-0.011232048358719002
y_train,48185,0.0
predict,33325,0.0
feature_importances,17211,0.0
feature_importances_,17212,0.0
get_oof,19431,0.0
x_test,47185,0.0
oof_train,30579,0.0
zeros,48648,0.8824403160955356
oof_test,30575,0.0
oof_test_skf,30577,0.010567958873876862
empty,15800,0.0
train_index,43510,-0.21958821984826588
test_index,41526,0.0
enumerate,16060,0.0
x_tr,47288,0.0
y_tr,48183,0.0
x_te,47178,0.0
reshape,35902,0.0
rf_params,36282,0.0
n_jobs,28550,0.0
n_estimators,28502,0.0
500,2386,0.0
warm_start,46172,0.0
max_depth,26471,-0.02342574685822566
min_samples_leaf,27237,0.024155091988251408
max_features,26487,0.008732409931180058
sqrt,39447,0.0
verbose,45747,0.0
et_params,16246,0.0
ada_params,3865,0.0
learning_rate,24531,0.0
75,2832,0.0
gb_params,18924,-0.039322640749193824
svc_params,40583,0.0
kernel,23557,0.0
linear,24935,0.0
025,80,0.0
rf,36257,-0.011089628935654914
et,16243,0.0
ada,3858,0.0
gb,18912,0.0
ravel,35110,0.0
et_oof_train,16245,0.0
et_oof_test,16244,0.0
rf_oof_train,36280,0.0
rf_oof_test,36279,0.0
ada_oof_train,3863,0.0
ada_oof_test,3862,0.0
gb_oof_train,18922,0.0
gb_oof_test,18921,0.0
training,43859,0.0
is,22826,0.0
complete,9758,0.0
rf_features,36270,0.0
028,83,-0.00554866988149227
008,46,0.0814654539913079
012,56,-0.041422085889257505
032,91,0.0
feature_dataframe,17192,-0.1144802599038331
dataframe,12204,0.13987165387450548
forest,18163,-0.29080817094471256
feature,17172,0.0
importances,21910,0.0
extra,16667,0.0
trees,44119,0.0
adaboost,3868,0.0
gradient,19932,0.0
boost,6999,0.0
trace,43178,-0.13580021683681603
mode,27525,0.0
markers,26233,0.0
marker,26220,0.09449798658998046
sizemode,38744,0.0
diameter,14292,-0.17635074651104282
sizeref,38747,0.0
color,9418,0.0
colorscale,9484,0.0
portland,32953,0.02148098083416286
showscale,38510,0.0
text,41825,0.0
layout,24375,0.0
autosize,5611,-0.001819578326322284
importance,21901,0.0
hovermode,21107,0.0
closest,9083,0.01044398444300106
yaxis,48368,0.0
ticklen,42232,-0.011656275176274813
gridwidth,20101,0.0
showlegend,38504,0.0
iplot,22778,0.0
filename,17508,0.0
scatter2010,37365,0.0
boosting,7007,0.0
bar,5979,0.0
width,46468,0.0
reversescale,36198,0.0
opacity,30591,-0.021337890488502074
direct,14474,0.0
labels,24044,0.0
base_predictions_train,6050,0.0
randomforest,34971,0.04584941569709567
extratrees,16707,-0.22082419801389247
gradientboost,19937,0.0
viridis,45885,0.0
labelled,24035,0.0
concatenate,9856,0.15192016900452
gbm,18943,0.0
xgbclassifier,47613,0.0
2000,1153,0.0
min_child_weight,27184,0.02466393091919713
gamma,18841,0.0
subsample,40308,0.0
colsample_bytree,9510,0.0
objective,30285,0.0
binary,6663,0.0
logistic,25418,-0.06547516129498987
nthread,29827,0.0
scale_pos_weight,37305,0.0
predictions,33475,0.0
to_csv,42530,0.0
rnd,36515,0.0
linear_model,24950,0.0
logisticregression,25426,-0.17221013405607938
linearsvc,24973,0.0
neighbors,29032,0.0
kneighborsclassifier,23758,0.0
naive_bayes,28661,0.0
gaussiannb,18902,0.0
perceptron,31900,0.0
sgdclassifier,38247,0.2936914399310097
tree,44091,0.0
decisiontreeclassifier,12816,0.0
train_df,43384,0.0
test_df,41434,0.0
combine,9583,0.0
tail,40879,0.0
info,22292,-0.2253082010968481
40,2178,0.0
include,22022,0.010064503073052388
groupby,20161,0.06440935569881394
as_index,5245,-0.06294363850408846
facetgrid,16817,-0.3269232036690756
hist,20805,0.0
bins,6687,0.0
grid,20033,0.0
row,36701,-0.000978643352938555
aspect,5293,0.0
alpha,4596,0.0
add_legend,3949,0.0
pointplot,32753,0.0
deep,12886,0.0
barplot,6005,-7.006796064118042e-05
ci,8685,0.07360440186185448
before,6314,0.0
after,4136,0.0
str,39957,0.0
extract,16676,0.0
expand,16536,0.0
crosstab,11159,0.0
guess_ages,20276,0.0
guess_df,20277,0.0
dropna,15083,0.0
age_guess,4211,0.0
ageband,4243,0.0470917210314105
freq_port,18371,0.0
inplace,22423,0.0
fareband,16948,0.0
copy,10385,0.0
logreg,25450,0.0
y_pred,47967,0.0
acc_log,3651,0.0
round,36681,0.0
score,37459,-0.09071621757187595
100,190,0.0
coeff_df,9306,-0.15962026367764298
delete,12990,0.0
coef_,9300,0.0
acc_svc,3664,0.0
knn,23763,0.0
n_neighbors,28566,0.109526215795472
acc_knn,3647,0.0
gaussian,18894,0.0
acc_gaussian,3644,0.0
acc_perceptron,3655,-0.005869512485315334
linear_svc,24960,-0.001809128172493693
acc_linear_svc,3648,0.0
sgd,38243,0.0
acc_sgd,3663,0.0
decision_tree,12808,0.0
acc_decision_tree,3641,0.0
random_forest,34933,-0.04701267088369568
acc_random_forest,3658,0.08294119953959427
models,27797,0.0
model,27527,0.0
support,40486,0.0
vector,45674,0.0
machines,25887,0.0
regression,35563,0.0
naive,28660,0.0
bayes,6201,0.0
stochastic,39895,-0.0057893776398153934
decent,12796,0.0
decision,12803,0.0
submission,40238,0.0
subprocess,40304,0.0
check_output,8478,0.0
ls,25700,0.0
decode,12824,0.0
utf8,45151,0.0
os,30843,0.0
dirname,14487,0.454512976402637
filenames,17512,0.0
walk,46142,-0.0018307031375549149
kaggle,23437,0.0
path,31564,0.0
join,23303,0.0
pokemon,32765,0.0
18,914,0.0
1f,1130,0.0
speed,39325,0.0
kind,23689,0.0
line,24913,0.08868176697060712
label,23922,-0.05489660751100937
linewidth,24989,0.0
linestyle,24984,0.0
defense,12939,0.0
legend,24573,0.0
upper,44912,0.0
right,36420,0.0
xlabel,47644,0.0
ylabel,48479,0.0
attack,5426,-0.0657689220307645
red,35394,0.0
defence,12927,0.0
50,2385,0.0
dictionary,14347,0.01044398444300106
spain,39223,0.0
madrid,25906,0.0
usa,45009,-0.035472131588221115
vegas,45700,0.0
barcelona,5997,0.14298512848444536
france,18315,0.878926735984316
paris,31458,0.0
del,12983,0.0
clear,8982,-0.02107792176150558
data_frame,12012,0.0
and,4755,0.057391643137219055
or,30703,-0.2994695359266658
200,1152,-0.31076679143469277
logical_and,25413,0.6067042404453621
while,46421,0.0
equal,16133,0.0
to,42524,0.0
lis,25018,0.0
value,45560,0.0
key,23596,0.0
items,23101,0.0
iterrows,23130,0.0
defined,12958,0.0
builtins,7398,0.0
dir,14456,0.0
add,3895,0.2771562544773684
two,44486,0.0
local,25276,0.0
variable,45613,0.0
args,5099,0.0
kwargs,23883,0.0
country,10675,0.12689183623456965
capital,7789,0.0
population,32910,0.0
123456,456,0.0
tot,42866,0.0
number_list,30084,0.0
list,25020,0.0
ronaldo,36630,0.0
it,23016,0.0
iter,23110,0.24250021624037996
next,29339,0.0
list1,25021,0.0
list2,25022,0.0
zip,48662,0.0
z_list,48617,-0.1565308591414759
un_zip,44679,-0.593900139943012
num1,29866,0.0
num2,29867,-0.07895092546952025
threshold,42143,0.0
value_counts,45566,0.0
column,9520,0.0
legendary,24583,0.0
data_new,12068,0.0
melted,26898,0.0
melt,26896,0.0
frame,18302,0.0
id_vars,21415,0.0
value_vars,45573,0.20313233344762902
pivot,32174,0.0
data1,11902,0.0
data2,11905,0.0
conc_data_row,9847,0.0
ignore_index,21528,0.0
conc_data_col,9846,0.0
dtypes,15220,0.0
category,8089,0.0
assert,5305,-0.0057893776398153934
notnull,29735,0.0
all,4466,0.0
11,333,0.0
list_label,25041,0.0
list_col,25030,0.0
zipped,48676,0.0
data_dict,11984,0.02830008140155438
df,13318,0.0
income,22035,0.0
250,1519,0.0
normed,29671,0.0
axes,5767,0.0
nrows,29802,0.0
ncols,28933,0.0
cumulative,11280,0.0
savefig,37237,0.0
graph,19966,-0.023372617972352426
png,32730,0.0
time_list,42291,0.0
1992,1096,0.0
03,89,-0.15838102658500422
08,155,0.29728212984177443
04,106,0.0
datetime_object,12437,0.0
to_datetime,42533,0.0
date_list,12360,0.0
01,51,0.0
02,72,0.0
1993,1097,0.0
date,12306,0.2611935443435513
set_index,38099,0.5118664235348318
resample,35856,-0.034570938860790185
first,17758,0.0
interpolate,22655,0.0
hp,21120,0.0
boolean,6993,0.0
first_filter,17767,0.0
150,695,0.0
second_filter,37666,0.0
35,2048,0.0
div,14700,-0.03828129034210756
index_name,22126,0.0
data3,11909,0.0
900,3081,-0.01584844597307362
dic,14313,0.0
treatment,44086,0.0
gender,19025,0.0
response,35997,-0.01727901682498292
45,2284,-0.00392379634710888
72,2779,-0.037689138953962927
65,2653,0.0
df1,13321,0.0
unstack,44848,0.0
level,24672,0.0
df2,13328,0.0
swaplevel,40643,0.0
min,27175,-0.037386286652392256
spam_amount,39238,0.0
but,7436,0.0
want,46160,0.0
any,4916,0.0
spam,39237,0.0
19,987,0.0
95,3161,0.603840618964085
190,988,0.0
height,20628,0.022528400882849568
meters,27064,0.1921187930950092
abs,3561,0.0
33,1966,0.0
807,2935,0.0
labelencoder,24028,0.0
listdir,25080,0.0
app_train,4958,-0.03672435097370186
application_train,4991,0.0
app_test,4956,0.0
application_test,4990,0.0
testing,41780,0.08340748282515988
target,40920,0.0
