Name,Value,Timestamp,Step
"test_f1_score",0.7436797217390392,1609083442836,1
"test_precision",0.7449696527775629,1609083442836,1
"test_recall",0.7572463768115942,1609083442836,1
"test_f1_score_import",1.0,1609083442836,1
"test_precision_import",1.0,1609083442836,1
"test_recall_import",1.0,1609083442836,1
"test_f1_score_data_import",0.979,1609083442836,1
"test_precision_data_import",0.9798,1609083442836,1
"test_recall_data_import",0.9796,1609083442836,1
"test_f1_score_data_export",0.9931,1609083442836,1
"test_precision_data_export",0.9933,1609083442836,1
"test_recall_data_export",0.9932,1609083442836,1
"test_f1_score_preprocessing",0.7205,1609083442836,1
"test_precision_preprocessing",0.7424,1609083442836,1
"test_recall_preprocessing",0.7081,1609083442836,1
"test_f1_score_visualization",0.8463,1609083442836,1
"test_precision_visualization",0.8515,1609083442836,1
"test_recall_visualization",0.8428,1609083442836,1
"test_f1_score_model",0.9376,1609083442836,1
"test_precision_model",0.9392,1609083442836,1
"test_recall_model",0.94,1609083442836,1
"test_f1_score_deep_learning_model",0.9692,1609083442836,1
"test_precision_deep_learning_model",0.9684,1609083442836,1
"test_recall_deep_learning_model",0.9717,1609083442836,1
"test_f1_score_train",0.9516,1609083442836,1
"test_precision_train",0.9617,1609083442836,1
"test_recall_train",0.948,1609083442836,1
"test_f1_score_predict",0.9306,1609083442836,1
"test_precision_predict",0.9294,1609083442836,1
"test_recall_predict",0.9321,1609083442836,1
