vocab,vocab_freq,weights
import,21896,0.208922668251494
pandas,31322,-0.20246885517167598
as,5237,-0.2566515187276106
pd,31762,0.0
matplotlib,26410,-0.019654534540533376
pyplot,34394,0.0
plt,32674,0.0
seaborn,37587,0.060143129662945716
sns,39001,0.0
numpy,30188,0.044557088143460266
np,29766,0.0
from,18401,0.0
scipy,37448,0.0
stats,39765,0.5069364162809691
norm,29623,0.0
sklearn,38817,0.0
preprocessing,33641,0.022280916995060837
standardscaler,39589,0.0
warnings,46183,0.06050609070138285
filterwarnings,17613,0.0
ignore,21521,0.06176309020740717
inline,22408,0.06562101530312531
df_train,14043,-0.13669061219986894
read_csv,35183,0.06838964057428887
input,22427,0.0
train,43231,0.06468854111338179
csv,11204,0.03320995847954236
columns,9551,0.0
saleprice,36993,0.0
describe,13167,0.0
distplot,14672,0.021832361347316843
print,33781,-0.01835228841868998
skewness,38779,0.0
skew,38770,0.0
kurtosis,23868,0.0
kurt,23867,0.0
var,45588,0.22403640448218037
grlivarea,20103,-0.05119004068010114
data,11900,0.0
concat,9848,0.0
axis,5777,0.0761703805008104
plot,32359,0.0
scatter,37364,0.0
ylim,48484,0.0
800000,2926,0.026909833919098226
totalbsmtsf,43016,0.0014858674767860285
overallqual,31076,0.0733242168510852
ax,5744,-0.07325781814120466
subplots,40300,0.0
figsize,17465,0.0
fig,17432,0.0
boxplot,7119,0.025003659875101225
ymin,48497,0.0
ymax,48496,0.0
yearbuilt,48408,0.0
16,772,0.0
xticks,47720,0.0
rotation,36671,0.0
90,3080,0.0
corrmat,10532,-0.08337068553743182
corr,10482,0.0
12,414,0.0
heatmap,20616,0.0
vmax,45975,0.001558234451446484
square,39450,0.0
true,44215,0.0
10,189,0.0
cols,9489,0.18020228250265552
nlargest,29435,0.0
index,22107,0.0
cm,9183,0.0
corrcoef,10500,0.0
values,45577,-0.03598015809731771
set,38061,0.0
font_scale,18081,0.0
25,1518,0.0
hm,20870,0.0
cbar,8163,0.0
annot,4821,0.0
fmt,18011,0.06437129274751657
2f,1784,0.05581561211689144
annot_kws,4822,-0.007453877558848899
size,38731,0.0
yticklabels,48574,0.05179421749795059
xticklabels,47719,-0.06538079726024197
show,38411,0.12770558636408735
garagecars,18866,0.0
fullbath,18540,0.0
pairplot,31281,0.0
total,42876,0.15221548843857824
isnull,22961,0.0
sum,40396,0.0
sort_values,39141,-0.011099652167188268
ascending,5260,-0.11305007412983516
false,16882,0.10353572592168175
percent,31871,0.05145363165790358
count,10596,0.0
missing_data,27363,0.0
keys,23623,0.0
head,20548,0.0
20,1151,-0.12918810173783646
drop,15040,0.0
loc,25269,0.06547955663479786
electrical,15599,0.0
max,26437,0.0
fit_transform,17840,0.0
newaxis,29280,0.1916459560723039
low_range,25608,0.0
argsort,5100,0.0
high_range,20742,0.0
outer,30947,0.0
range,34997,0.0
low,25600,0.0
of,30370,-0.11801342286973181
the,42030,0.0
distribution,14686,0.0
high,20733,0.0
by,7453,0.0
id,21340,0.0
1299,514,0.0
524,2443,0.007354904034884473
fit,17805,0.0
figure,17467,0.0
res,35839,0.0
probplot,33879,0.0
log,25319,-0.08562558030382907
hasbsmt,20473,0.0
series,38024,0.0
len,24608,0.0
get_dummies,19313,0.0
re,35169,0.0
xgboost,47616,0.0
xgb,47573,0.0
plotly,32634,0.0
offline,30404,0.0771793109113458
py,34341,-0.020058083256132557
init_notebook_mode,22339,0.0
connected,10074,0.0
graph_objs,19972,0.021832361347316843
go,19811,0.0
tools,42700,0.0
tls,42477,0.0
ensemble,16015,0.0
randomforestclassifier,34973,0.0
adaboostclassifier,3869,0.0
gradientboostingclassifier,19939,-0.20452965354280594
extratreesclassifier,16708,0.0
svm,40599,0.0
svc,40570,0.0
cross_validation,11145,0.0
kfold,23634,0.0
test,41352,0.0
passengerid,31533,0.0
full_data,18504,0.0
name_length,28691,0.0
name,28668,-0.10160593753717267
apply,4996,0.0
has_cabin,20460,0.0
cabin,7560,0.0
lambda,24129,0.0
if,21504,0.0
type,44508,0.0
float,17960,0.26778059623833467
